TIME,O21,O22,PEDAL,THROTTLE,NE,MAP,TA,STFT,LTFT
6659,0.74,0.76,22.75,13.73,1496,21,39,-5.47,5.47
6660,0.74,0.76,22.75,13.73,1496,21,39,-5.47,5.47
6661,0.68,0.76,22.75,13.73,1484.25,21,39,-5.47,5.47
6662,0.68,0.76,22.75,13.73,1484.25,21,39,-5.47,5.47
6663,0.68,0.76,22.75,13.73,1484.25,21,39,-5.47,5.47
6664,0.34,0.76,22.75,13.73,1476.5,21,39,-6.25,5.47
6665,0.34,0.76,22.75,13.73,1476.5,21,39,-6.25,5.47
6666,0.34,0.76,22.75,13.73,1476.5,21,39,-6.25,5.47
6667,0.1,0.76,22.75,13.73,1460.75,21,38,-5.47,5.47
6668,0.1,0.76,22.75,13.73,1460.75,21,38,-5.47,5.47
6669,0.1,0.76,22.75,13.73,1460.75,21,38,-4.69,5.47
6670,0.08,0.76,22.75,13.73,1460.75,21,38,-4.69,5.47
6671,0.08,0.76,22.75,13.73,1460.75,21,38,-4.69,5.47
6672,0.1,0.76,22.75,13.73,1457,21,38,-3.91,5.47
6673,0.1,0.76,22.75,13.73,1457,21,38,-3.91,5.47
6674,0.1,0.76,22.75,13.73,1457,21,38,-3.91,5.47
6675,0.1,0.76,22.75,13.73,1449,21,38,-3.12,5.47
6676,0.1,0.76,22.75,13.73,1449,21,38,-3.12,5.47
6677,0.1,0.76,22.75,13.73,1449,21,38,-3.12,5.47
6678,0.14,0.76,22.75,13.73,1449,21,38,-2.34,5.47
6679,0.14,0.76,22.75,13.73,1449,21,38,-2.34,5.47
6680,0.14,0.76,22.75,13.73,1441.25,21,38,-2.34,5.47
6681,0.14,0.76,22.75,13.73,1441.25,21,38,-0.78,5.47
6682,0.14,0.74,22.75,13.73,1441.25,21,38,-0.78,5.47
6683,0.76,0.76,22.75,13.73,1449,21,38,-1.56,5.47
6684,0.76,0.76,22.75,13.73,1449,21,38,-1.56,5.47
6685,0.76,0.76,22.75,13.73,1449,21,38,-1.56,5.47
6686,0.76,0.74,22.75,13.73,1449,21,38,-1.56,5.47
6687,0.76,0.74,22.75,13.73,1449,21,38,-1.56,5.47
6688,0.74,0.76,22.75,13.73,1437.5,21,38,-2.34,5.47
6689,0.74,0.76,22.75,13.73,1437.5,21,38,-2.34,5.47
6690,0.72,0.76,22.75,13.73,1437.5,21,37,-3.12,5.47
6691,0.62,0.74,22.75,13.73,1425.75,21,37,-3.91,5.47
6692,0.62,0.74,22.75,13.73,1425.75,21,37,-3.91,5.47
6693,0.36,0.76,22.75,13.73,1402.25,21,37,-3.91,5.47
6694,0.36,0.76,22.75,13.73,1402.25,21,37,-3.91,5.47
6695,0.1,0.76,22.75,13.73,1398.25,21,37,-3.12,5.47
6696,0.1,0.76,22.75,13.73,1398.25,21,37,-3.12,5.47
6697,0.1,0.76,22.75,13.73,1398.25,21,37,-3.12,5.47
6698,0.12,0.76,22.75,13.73,1382.75,21,36,-2.34,5.47
6699,0.12,0.76,22.75,13.73,1382.75,21,36,-2.34,5.47
6700,0.12,0.76,22.75,13.73,1382.75,21,36,-2.34,5.47
6701,0.16,0.76,22.75,13.73,1375,21,36,-1.56,5.47
6702,0.16,0.76,22.75,13.73,1375,22,36,-1.56,5.47
6703,0.16,0.76,22.75,13.73,1375,22,36,-1.56,5.47
6704,0.72,0.76,22.75,13.73,1378.75,22,36,-0.78,5.47
6705,0.72,0.76,22.75,13.73,1378.75,22,36,-0.78,5.47
6706,0.76,0.74,22.75,13.73,1382.75,22,36,-1.56,5.47
6707,0.76,0.74,22.75,13.73,1382.75,22,36,-1.56,5.47
6708,0.76,0.74,22.75,13.73,1382.75,22,36,-1.56,5.47
6709,0.78,0.76,22.75,13.73,1375,22,36,-2.34,5.47
6710,0.78,0.76,22.75,13.73,1375,22,36,-2.34,5.47
6711,0.78,0.76,22.75,13.73,1375,22,36,-2.34,5.47
6712,0.76,0.76,22.75,13.73,1375,22,36,-2.34,5.47
6713,0.76,0.76,22.75,13.73,1375,22,36,-2.34,5.47
6714,0.76,0.76,22.75,13.73,1375,22,36,-2.34,5.47
6715,0.68,0.76,22.75,13.73,1371,22,36,-3.12,5.47
6716,0.68,0.76,22.75,13.73,1371,22,36,-3.12,5.47
6717,0.6,0.76,22.75,13.73,1359.25,23,36,-3.91,5.47
6718,0.6,0.76,22.75,13.73,1359.25,23,36,-3.91,5.47
6719,0.6,0.76,22.75,13.73,1359.25,23,36,-3.91,5.47
6720,0.32,0.76,22.75,13.73,1367,23,36,-4.69,5.47
6721,0.32,0.76,22.75,13.73,1367,23,35,-4.69,5.47
6722,0.32,0.76,22.75,13.73,1367,23,35,-4.69,5.47
6723,0.12,0.76,22.75,13.73,1367,23,35,-3.91,5.47
6724,0.12,0.76,22.75,13.73,1367,23,35,-3.91,5.47
6725,0.12,0.76,22.75,13.73,1367,23,35,-3.91,5.47
6726,0.14,0.76,22.75,13.73,1363.25,23,35,-3.12,5.47
6727,0.14,0.76,22.75,13.73,1363.25,23,35,-3.12,5.47
6728,0.14,0.76,22.75,13.73,1363.25,23,35,-3.12,5.47
6729,0.24,0.76,22.75,13.73,1371,23,35,-2.34,5.47
6730,0.24,0.76,22.75,13.73,1371,23,35,-2.34,5.47
6731,0.74,0.76,22.75,13.73,1386.5,23,35,-1.56,5.47
6732,0.74,0.76,22.75,13.73,1386.5,23,36,-1.56,5.47
6733,0.74,0.76,22.75,13.73,1386.5,23,36,-1.56,5.47
6734,0.76,0.76,22.75,13.73,1390.5,23,36,-1.56,5.47
6735,0.76,0.76,22.75,13.73,1390.5,23,36,-1.56,5.47
6736,0.76,0.76,22.75,13.73,1390.5,23,36,-1.56,5.47
6737,0.68,0.76,22.75,15.69,1386.5,23,36,-2.34,5.47
6738,0.68,0.76,22.75,15.69,1386.5,23,36,-2.34,5.47
6739,0.68,0.76,22.75,15.69,1386.5,23,36,-2.34,5.47
6740,0.24,0.76,22.75,15.69,1394.5,27,35,-3.12,5.47
6741,0.24,0.76,22.75,15.69,1394.5,27,35,-3.12,5.47
6742,0.24,0.76,22.75,15.69,1394.5,27,35,-3.12,5.47
6743,0.1,0.76,22.75,15.69,1433.5,29,35,-2.34,5.47
6744,0.1,0.76,22.75,15.69,1433.5,29,35,-2.34,5.47
6745,0.1,0.76,22.75,15.69,1457,29,35,-1.56,5.47
6746,0.1,0.76,22.75,15.69,1457,30,34,-1.56,5.47
6747,0.1,0.76,22.75,15.69,1457,30,34,-1.56,5.47
6748,0.78,0.76,22.75,15.69,1398.25,31,33,-1.56,5.47
6749,0.78,0.76,22.75,15.69,1398.25,31,33,-1.56,5.47
6750,0.78,0.76,22.75,15.69,1398.25,31,33,-1.56,5.47
6751,0.56,0.76,22.75,15.69,1335.75,32,32,-2.34,5.47
6752,0.56,0.76,22.75,15.69,1335.75,32,32,-2.34,5.47
6753,0.14,0.76,22.75,16.08,1296.75,33,29,-2.34,5.47
6754,0.14,0.76,22.75,16.08,1296.75,33,29,-2.34,5.47
6755,0.14,0.76,22.75,16.08,1296.75,33,29,-2.34,5.47
6756,0.08,0.76,22.75,16.08,1265.5,33,29,-1.56,5.47
6757,0.08,0.76,22.75,16.08,1265.5,35,27,-1.56,5.47
6758,0.08,0.76,22.75,16.08,1265.5,35,27,-1.56,5.47
6759,0.08,0.76,22.75,16.08,1246,35,27,-0.78,5.47
6760,0.08,0.76,22.75,16.08,1246,36,26,-0.78,5.47
6761,0.08,0.76,22.75,16.08,1246,36,26,-0.78,5.47
6762,0.08,0.76,22.75,16.08,1238.25,36,26,-0.78,5.47
6763,0.08,0.76,22.75,16.08,1238.25,36,25,-0.78,5.47
6764,0.08,0.76,22.75,16.08,1234.25,36,25,-0.78,5.47
6765,0.08,0.76,22.75,16.08,1234.25,36,25,-0.78,5.47
6766,0.08,0.76,22.75,16.08,1234.25,37,25,-0.78,5.47
6767,0.1,0.76,23.14,16.08,1238.25,37,25,0.78,5.47
6768,0.1,0.76,23.14,16.08,1238.25,37,25,0.78,5.47
6769,0.1,0.76,23.14,16.08,1238.25,37,25,0.78,5.47
6770,0.22,0.76,25.88,18.04,1250,38,25,1.56,5.47
6771,0.22,0.76,25.88,18.04,1250,38,25,1.56,5.47
6772,0.22,0.76,25.88,18.04,1250,38,25,1.56,5.47
6773,0.7,0.74,29.02,23.14,1273.25,40,23,2.34,5.47
6774,0.7,0.74,29.02,23.14,1273.25,40,23,2.34,5.47
6775,0.7,0.74,29.02,23.14,1273.25,40,23,2.34,5.47
6776,0.82,0.76,29.41,24.71,1410,59,17,2.34,5.47
